command_name	command_description	type	parameters	parameter_type	returns	return_type
Glib.spawn_async_with_pipes_and_fds()	Executes a child program asynchronously (your program will not block waiting for the child to exit).	function	working_directory, argv, envp, flags, child_setup, user_data, stdin_fd, stdout_fd, stderr_fd, source_fds, target_fds	str | None, list[str], list[str] | None, SpawnFlags, Callable[[Any], None] | None, Any, int, int, int, list[int] | None, list[int] | None	True on success, False if an error was set	tuple[bool, int, int, int, int]
Glib.spawn_check_exit_status()	An old name for spawn_check_wait_status(), deprecated because its name is misleading.	function	wait_status	int	True if child exited successfully, False otherwise (and error will be set)	bool
Glib.spawn_check_wait_status()	Set error if wait_status indicates the child exited abnormally (e.g. with a nonzero exit code, or via a fatal signal).	function	wait_status	int	True if child exited successfully, False otherwise (and error will be set)	bool
Glib.spawn_close_pid()	On some platforms, notably Windows, the Pid type represents a resource which must be closed to prevent resource leaking. spawn_close_pid() is provided for this purpose. It should be used on all platforms, even though it doesn’t do anything under UNIX.	function	pid	int		None
Glib.spawn_command_line_async()	A simple version of spawn_async() that parses a command line with shell_parse_argv() and passes it to spawn_async().	function	command_line	str	True on success, False if error is set	bool
Glib.spawn_command_line_sync()	A simple version of spawn_sync() with little-used parameters removed, taking a command line instead of an argument vector.	function	command_line	str	True on success, False if an error was set	tuple[bool, list[int], list[int], int]
Glib.spawn_error_quark()		function	None			int
Glib.spawn_exit_error_quark()		function	None			int
Glib.spawn_sync()	Executes a child synchronously (waits for the child to exit before returning).	function	working_directory, argv, envp, flags, child_setup, user_data	str | None, list[str], list[str] | None, SpawnFlags, Callable[[Any], None] | None, Any	True on success, False if an error was set	tuple[bool, list[int], list[int], int]
Glib.stat()	A wrapper for the POSIX stat() function. The stat() function returns information about a file. On Windows the stat() function in the C library checks only the FAT-style READONLY attribute and does not look at the ACL at all. Thus on Windows the protection bits in the st_mode field are a fabrication of little use.	function	filename, buf	str, StatBuf	0 if the information was successfully retrieved, -1 if an error occurred	int
Glib.stpcpy()	Copies a nul-terminated string into the destination buffer, including the trailing nul byte, and returns a pointer to the trailing nul byte in dest. The return value is useful for concatenating multiple strings without having to repeatedly scan for the end.	function	dest, src	str, str	a pointer to the trailing nul byte in dest	str
Glib.str_equal()	Compares two strings for byte-by-byte equality and returns True if they are equal. It can be passed to new() as the key_equal_func parameter, when using non-None strings as keys in a HashTable.	function	v1, v2	Any, Any	True if the two keys match	bool
Glib.str_has_prefix()	Looks whether the string str begins with prefix.	function	str, prefix	str, str	true if str begins with prefix, false otherwise	bool
Glib.str_has_suffix()	Looks whether a string ends with suffix.	function	str, suffix	str, str	true if str ends with suffix, false otherwise	bool
Glib.str_hash()	Converts a string to a hash value.	function	v	Any	a hash value corresponding to the key	int
Glib.str_is_ascii()	Determines if a string is pure ASCII. A string is pure ASCII if it contains no bytes with the high bit set.	function	str	str	true if str is ASCII	bool
Glib.str_match_string()	Checks if a search conducted for search_term should match potential_hit.	function	search_term, potential_hit, accept_alternates	str, str, bool	true if potential_hit is a hit	bool
Glib.str_to_ascii()	Transliterate str to plain ASCII.	function	str, from_locale	str, str | None	a string in plain ASCII	str
Glib.str_tokenize_and_fold()	Tokenizes string and performs folding on each token.	function	string, translit_locale	str, str | None	the folded tokens	tuple[list[str], list[str]]
Glib.strcanon()	For each character in string, if the character is not in valid_chars, replaces the character with substitutor.	function	string, valid_chars, substitutor	str, str, int	the modified string	str
Glib.strcasecmp()	A case-insensitive string comparison, corresponding to the standard strcasecmp() function on platforms which support it.	function	s1, s2	str, str	0 if the strings match, a negative value if s1 < s2, or a positive value if s1 > s2	int
Glib.strchomp()	Removes trailing whitespace from a string.	function	string	str	the modified string	str
Glib.strchug()	Removes leading whitespace from a string, by moving the rest of the characters forward.	function	string	str	the modified string	str
Glib.strcmp0()	Compares str1 and str2 like strcmp(). Handles None gracefully by sorting it before non-None strings. Comparing two None pointers returns 0.	function	str1, str2	str | None, str | None	an integer less than, equal to, or greater than zero, if str1 is <, == or > than str2.	int
Glib.strcompress()	Makes a copy of a string replacing C string-style escape sequences with their one byte equivalent:	function	source	str	a newly-allocated copy of source with all escaped character compressed	str
Glib.strdelimit()	Converts any delimiter characters in string to new_delimiter.	function	string, delimiters, new_delimiter	str, str | None, int	the modified string	str
Glib.strdown()	Converts a string to lower case.	function	string	str	the string	str
Glib.strdup()	Duplicates a string. If str is NULL it returns NULL.	function	str	str | None	a newly-allocated copy of str	str
Glib.strdupv()	Copies an array of strings. The copy is a deep copy; each string is also copied.	function	str_array	list[str] | None	a newly-allocated array of strings. Use strfreev to free it.	list[str] | None
Glib.strerror()	Returns a string corresponding to the given error code, e.g. “no such process”.	function	errnum	int	the string describing the error code	str
Glib.strescape()	It replaces the following special characters in the string source with their corresponding C escape sequence:	function	source, exceptions	str, str | None	a newly-allocated copy of source with special characters escaped	str
Glib.strfreev()	Frees an array of strings, as well as each string it contains.	function	str_array	list[str] | None		None
Glib.strip_context()	An auxiliary function for gettext() support (see Q_()).	function	msgid, msgval	str, str	msgval, unless msgval is identical to msgid and contains a ‘|’ character, in which case a pointer to the substring of msgid after the first ‘|’ character is returned.	str
Glib.strjoinv()	Joins an array of strings together to form one long string, with the optional separator inserted between each of them.	function	separator, str_array	str | None, list[str]	a newly-allocated string containing all of the strings joined together, with separator between them	str
Glib.strlcat()	Portability wrapper that calls strlcat() on systems which have it, and emulates it otherwise. Appends nul-terminated src string to dest, guaranteeing nul-termination for dest. The total size of dest won’t exceed dest_size.	function	dest, src, dest_size	str, str, int	size of attempted result, which is MIN (dest_size, strlen (original dest)) + strlen (src), so if retval >= dest_size, truncation occurred	int
Glib.strlcpy()	Portability wrapper that calls strlcpy() on systems which have it, and emulates strlcpy() otherwise. Copies src to dest; dest is guaranteed to be nul-terminated; src must be nul-terminated; dest_size is the buffer size, not the number of bytes to copy.	function	dest, src, dest_size	str, str, int	length of src	int
Glib.strncasecmp()	A case-insensitive string comparison, corresponding to the standard strncasecmp() function on platforms which support it. It is similar to strcasecmp except it only compares the first n characters of the strings.	function	s1, s2, n	str, str, int	0 if the strings match, a negative value if s1 < s2, or a positive value if s1 > s2	int
Glib.strndup()	Duplicates the first n bytes of a string, returning a newly-allocated buffer n + 1 bytes long which will always be nul-terminated. If str is less than n bytes long the buffer is padded with nuls. If str is NULL it returns NULL.	function	str, n	str | None, int	a newly-allocated buffer containing the first n bytes of str	str | None
Glib.strnfill()	Creates a new string length bytes long filled with fill_char.	function	length, fill_char	int, int	a newly-allocated string filled with fill_char	str
Glib.strreverse()	"Reverses all of the bytes in a string. For example, g_strreverse (""abcdef"") will result in “fedcba”."	function	string	str	the string, reversed in place	str
Glib.strrstr()	Searches the string haystack for the last occurrence of the string needle.	function	haystack, needle	str, str	a pointer to the found occurrence, or NULL if not found	str | None
Glib.strrstr_len()	Searches the string haystack for the last occurrence of the string needle, limiting the length of the search to haystack_len.	function	haystack, haystack_len, needle	str, int, str	a pointer to the found occurrence, or NULL if not found	str | None
Glib.strsignal()	Returns a string describing the given signal, e.g. “Segmentation fault”. If the signal is unknown, it returns “unknown signal (<signum>)”.	function	signum	int	the string describing the signal	str
Glib.strsplit()	Splits a string into a maximum of max_tokens pieces, using the given delimiter. If max_tokens is reached, the remainder of string is appended to the last token.	function	string, delimiter, max_tokens	str, str, int	a newly-allocated array of strings, freed with strfreev	list[str]
Glib.strsplit_set()	Splits string into a number of tokens not containing any of the characters in delimiters. A token is the (possibly empty) longest string that does not contain any of the characters in delimiters. If max_tokens is reached, the remainder is appended to the last token.	function	string, delimiters, max_tokens	str, str, int	a newly-allocated array of strings. Use strfreev to free it.	list[str]
Glib.strstr_len()	Searches the string haystack for the first occurrence of the string needle, limiting the length of the search to haystack_len or a nul terminator byte (whichever is reached first).	function	haystack, haystack_len, needle	str, int, str	a pointer to the found occurrence, or NULL if not found	str | None
Glib.strtod()	Converts a string to a floating point value.	function	nptr	str	the converted value	tuple[float, str]
Glib.strup()	Converts a string to upper case.	function	string	str	the string	str
Glib.strv_contains()	Checks if an array of strings contains the string str according to str_equal. strv must not be NULL.	function	strv, str	list[str], str	true if str is an element of strv	bool
Glib.strv_equal()	Checks if two arrays of strings contain exactly the same elements in exactly the same order.	function	strv1, strv2	list[str], list[str]	true if strv1 and strv2 are equal	bool
Glib.strv_get_type()		function	None			GType
Glib.strv_length()	Returns the length of an array of strings. str_array must not be NULL.	function	str_array	list[str]	length of str_array	int
Glib.test_add_data_func()	Create a new test case, similar to test_create_case(). However the test is assumed to use no fixture, and test suites are automatically created on the fly and added to the root fixture, based on the slash-separated portions of testpath. The test_data argument will be passed as first argument to test_func.	function	testpath, test_data, test_func	str, Any, Callable[[Any], None]		None
Glib.test_add_data_func_full()	Create a new test case, as with test_add_data_func(), but freeing test_data after the test run is complete.	function	testpath, test_data, test_func	str, Any, Callable[[Any], None]		None
Glib.test_add_func()	Create a new test case, similar to test_create_case(). However the test is assumed to use no fixture, and test suites are automatically created on the fly and added to the root fixture, based on the slash-separated portions of testpath.	function	testpath, test_func	str, Callable[[], None]		None
Glib.test_assert_expected_messages_internal()	domain	function	domain, file, line, func	str, str, int, str		None
Glib.test_bug()	This function adds a message to test reports that associates a bug URI with a test case.	function	bug_uri_snippet	str		None
Glib.test_bug_base()	Specify the base URI for bug reports.	function	uri_pattern	str		None
Glib.test_disable_crash_reporting()	Attempt to disable system crash reporting infrastructure.	function	None			None
Glib.test_expect_message()	Indicates that a message with the given log_domain and log_level, with text matching pattern, is expected to be logged.	function	log_domain, log_level, pattern	str | None, LogLevelFlags, str		None
Glib.test_fail()	Indicates that a test failed. This function can be called multiple times from the same test. You can use this function if your test failed in a recoverable way.	function	None			None
Glib.test_failed()	Returns whether a test has already failed. This will be the case when test_fail(), test_incomplete() or test_skip() have been called, but also if an assertion has failed.	function	None		True if the test has failed	bool
Glib.test_get_dir()	Gets the pathname of the directory containing test files of the type specified by file_type.	function	file_type	TestFileType	the path of the directory, owned by GLib	str
Glib.test_get_path()	Gets the test path for the test currently being run.	function	None		the test path for the test currently being run	str
Glib.test_incomplete()	Indicates that a test failed because of some incomplete functionality. This function can be called multiple times from the same test.	function	msg	str | None		None
Glib.test_log_type_name()	log_type	function	log_type	TestLogType		str
Glib.test_queue_destroy()	Enqueues a callback destroy_func to be executed during the next test case teardown phase.	function	destroy_func, destroy_data	Callable[[Any], None], Any		None
Glib.test_queue_free()	Enqueue a pointer to be released with free() during the next teardown phase. This is equivalent to calling test_queue_destroy() with a destroy callback of free().	function	gfree_pointer	Any		None
Glib.test_rand_double()	Get a reproducible random floating point number, see test_rand_int() for details on test case random numbers.	function	None		a random number from the seeded random number generator.	float
Glib.test_rand_double_range()	Get a reproducible random floating pointer number out of a specified range, see test_rand_int() for details on test case random numbers.	function	range_start, range_end	float, float	a number with range_start <= number < range_end.	float
Glib.test_rand_int()	Get a reproducible random integer number.	function	None		a random number from the seeded random number generator.	int
Glib.test_rand_int_range()	Get a reproducible random integer number out of a specified range, see test_rand_int() for details on test case random numbers.	function	begin, end	int, int	a number with begin <= number < end.	int
Glib.test_run()	Runs all tests under the toplevel suite which can be retrieved with test_get_root(). Similar to test_run_suite(), the test cases to be run are filtered according to test path arguments (-p testpath and -s testpath) as parsed by test_init(). test_run_suite() or test_run() may only be called once in a program.	function	None		0 on success, 1 on failure (assuming it returns at all), 0 or 77 if all tests were skipped with test_skip() and/or test_incomplete()	int
Glib.test_run_suite()	Execute the tests within suite and all nested TestSuite. The test suites to be executed are filtered according to test path arguments (-p testpath and -s testpath) as parsed by test_init(). See the test_run() documentation for more information on the order that tests are run in.	function	suite	TestSuite	0 on success	int
Glib.test_set_nonfatal_assertions()	Changes the behaviour of the various g_assert_*() macros, test_assert_expected_messages() and the various g_test_trap_assert_*() macros to not abort to program, but instead call test_fail() and continue. (This also changes the behavior of test_fail() so that it will not cause the test program to abort after completing the failed test.)	function	None			None
Glib.test_skip()	Indicates that a test was skipped.	function	msg	str | None		None
Glib.test_subprocess()	Returns True (after test_init() has been called) if the test program is running under test_trap_subprocess().	function	None		True if the test program is running under test_trap_subprocess().	bool
Glib.test_summary()	Set the summary for a test, which describes what the test checks, and how it goes about checking it. This may be included in test report output, and is useful documentation for anyone reading the source code or modifying a test in future. It must be a single line.	function	summary	str		None
Glib.test_timer_elapsed()	Get the number of seconds since the last start of the timer with test_timer_start().	function	None		the time since the last start of the timer in seconds, as a double	float
Glib.test_timer_last()	Report the last result of test_timer_elapsed().	function	None		the last result of test_timer_elapsed(), as a double	float
Glib.test_timer_start()	Start a timing test. Call test_timer_elapsed() when the task is supposed to be done. Call this function again to restart the timer.	function	None			None
Glib.test_trap_assertions()	domain	function	domain, file, line, func, assertion_flags, pattern	str, str, int, str, int, str		None
Glib.test_trap_fork()	Fork the current test program to execute a test case that might not return or that might abort.	function	usec_timeout, test_trap_flags	int, TestTrapFlags	True for the forked child and False for the executing parent process.	bool
Glib.test_trap_has_passed()	Check the result of the last test_trap_subprocess() call.	function	None		True if the last test subprocess terminated successfully.	bool
Glib.test_trap_reached_timeout()	Check the result of the last test_trap_subprocess() call.	function	None		True if the last test subprocess got killed due to a timeout.	bool
Glib.test_trap_subprocess()	Respawns the test program to run only test_path in a subprocess.	function	test_path, usec_timeout, test_flags	str | None, int, TestSubprocessFlags		None
Glib.test_trap_subprocess_with_envp()	Respawns the test program to run only test_path in a subprocess with the given envp environment.	function	test_path, envp, usec_timeout, test_flags	str | None, list[str] | None, int, TestSubprocessFlags		None
Glib.thread_error_quark()		function	None			int
Glib.thread_exit()	retval	function	retval	Any		None
Glib.thread_pool_get_max_idle_time()		function	None			int
Glib.thread_pool_get_max_unused_threads()		function	None			int
Glib.thread_pool_get_num_unused_threads()		function	None			int
Glib.thread_pool_set_max_idle_time()	interval	function	interval	int		None
Glib.thread_pool_set_max_unused_threads()	max_threads	function	max_threads	int		None
Glib.thread_pool_stop_unused_threads()		function	None			None
Glib.thread_self()		function	None			Thread
Glib.thread_yield()		function	None			None
Glib.threads_init()		function	None			
Glib.time_val_from_iso8601()	iso_date	function	iso_date	str		tuple[bool, TimeVal]
Glib.timeout_add()	Sets a function to be called at regular intervals, with the default priority, PRIORITY_DEFAULT.	function	interval, function, *user_data, priority	Any, Any, Any, Any	the ID (greater than 0) of the event source.	
Glib.timeout_add_seconds()	Sets a function to be called at regular intervals with the default priority, PRIORITY_DEFAULT.	function	interval, function, *user_data, priority	Any, Any, Any, Any	the ID (greater than 0) of the event source.	
Glib.timeout_source_new()	Creates a new timeout source.	function	interval	int	the newly-created timeout source	Source
Glib.timeout_source_new_seconds()	Creates a new timeout source.	function	interval	int	the newly-created timeout source	Source
Glib.trash_stack_height()	stack_p	function	stack_p	TrashStack		int
Glib.trash_stack_peek()	stack_p	function	stack_p	TrashStack		Any | None
Glib.trash_stack_pop()	stack_p	function	stack_p	TrashStack		Any | None
Glib.trash_stack_push()	stack_p	function	stack_p, data_p	TrashStack, Any		None
Glib.try_malloc()	Attempts to allocate n_bytes, and returns None on failure. Contrast with malloc(), which aborts the program on failure.	function	n_bytes	int	the allocated memory, or None.	Any | None
Glib.try_malloc0()	Attempts to allocate n_bytes, initialized to 0’s, and returns None on failure. Contrast with malloc0(), which aborts the program on failure.	function	n_bytes	int	the allocated memory, or None	Any | None
Glib.try_malloc0_n()	This function is similar to try_malloc0(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	n_blocks, n_block_bytes	int, int	the allocated memory, or None	Any | None
Glib.try_malloc_n()	This function is similar to try_malloc(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	n_blocks, n_block_bytes	int, int	the allocated memory, or None.	Any | None
Glib.try_realloc()	Attempts to realloc mem to a new size, n_bytes, and returns None on failure. Contrast with realloc(), which aborts the program on failure.	function	mem, n_bytes	Any, int	the allocated memory, or None.	Any | None
Glib.try_realloc_n()	This function is similar to try_realloc(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	mem, n_blocks, n_block_bytes	Any, int, int	the allocated memory, or None.	Any | None
Glib.ucs4_to_utf16()	Convert a string from UCS-4 to UTF-16. A 0 character will be added to the result after the converted text.	function	str	list[str]	a pointer to a newly allocated UTF-16 string. This value must be freed with free(). If an error occurs, None will be returned and error set.	tuple[int, int, int]
Glib.ucs4_to_utf8()	Convert a string from a 32-bit fixed width representation as UCS-4. to UTF-8. The result will be terminated with a 0 byte.	function	str	list[str]	a pointer to a newly allocated UTF-8 string. This value must be freed with free(). If an error occurs, None will be returned and error set. In that case, items_read will be set to the position of the first invalid input character.	tuple[str, int, int]
Glib.unichar_break_type()	Determines the break type of c. c should be a Unicode character (to derive a character from UTF-8 encoded text, use utf8_get_char()). The break type is used to find word and line breaks (“text boundaries”), Pango implements the Unicode boundary resolution algorithms and normally you would use a function such as pango_break() instead of caring about break types yourself.	function	c	str	the break type of c	UnicodeBreakType
Glib.unichar_combining_class()	Determines the canonical combining class of a Unicode character.	function	uc	str	the combining class of the character	int
Glib.unichar_compose()	Performs a single composition step of the Unicode canonical composition algorithm.	function	a, b	str, str	True if the characters could be composed	tuple[bool, str]
Glib.unichar_decompose()	Performs a single decomposition step of the Unicode canonical decomposition algorithm.	function	ch	str	True if the character could be decomposed	tuple[bool, str, str]
Glib.unichar_digit_value()	Determines the numeric value of a character as a decimal digit.	function	c	str	If c is a decimal digit (according to unichar_isdigit()), its numeric value. Otherwise, -1.	int
Glib.unichar_fully_decompose()	Computes the canonical or compatibility decomposition of a Unicode character. For compatibility decomposition, pass True for compat; for canonical decomposition pass False for compat.	function	ch, compat, result_len	str, bool, int	the length of the full decomposition.	tuple[int, str]
Glib.unichar_get_mirror_char()	In Unicode, some characters are “mirrored”. This means that their images are mirrored horizontally in text that is laid out from right to left. For instance, “(” would become its mirror image, “)”, in right-to-left text.	function	ch	str	True if ch has a mirrored character, False otherwise	tuple[bool, str]
Glib.unichar_get_script()	Looks up the UnicodeScript for a particular character (as defined by Unicode Standard Annex #24). No check is made for ch being a valid Unicode character; if you pass in invalid character, the result is undefined.	function	ch	str	the UnicodeScript for the character.	UnicodeScript
Glib.unichar_isalnum()	Determines whether a character is alphanumeric. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is an alphanumeric character	bool
Glib.unichar_isalpha()	Determines whether a character is alphabetic (i.e. a letter). Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is an alphabetic character	bool
Glib.unichar_iscntrl()	Determines whether a character is a control character. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a control character	bool
Glib.unichar_isdefined()	Determines if a given character is assigned in the Unicode standard.	function	c	str	True if the character has an assigned value	bool
Glib.unichar_isdigit()	Determines whether a character is numeric (i.e. a digit). This covers ASCII 0-9 and also digits in other languages/scripts. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a digit	bool
Glib.unichar_isgraph()	Determines whether a character is printable and not a space (returns False for control characters, format characters, and spaces). unichar_isprint() is similar, but returns True for spaces. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is printable unless it’s a space	bool
Glib.unichar_islower()	Determines whether a character is a lowercase letter. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a lowercase letter	bool
Glib.unichar_ismark()	Determines whether a character is a mark (non-spacing mark, combining mark, or enclosing mark in Unicode speak). Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a mark character	bool
Glib.unichar_isprint()	Determines whether a character is printable. Unlike unichar_isgraph(), returns True for spaces. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is printable	bool
Glib.unichar_ispunct()	Determines whether a character is punctuation or a symbol. Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a punctuation or symbol character	bool
Glib.unichar_isspace()	Determines whether a character is a space, tab, or line separator (newline, carriage return, etc.). Given some UTF-8 text, obtain a character value with utf8_get_char().	function	c	str	True if c is a space character	bool
Glib.unichar_istitle()	Determines if a character is titlecase. Some characters in Unicode which are composites, such as the DZ digraph have three case variants instead of just two. The titlecase form is used at the beginning of a word where only the first letter is capitalized. The titlecase form of the DZ digraph is U+01F2 LATIN CAPITAL LETTTER D WITH SMALL LETTER Z.	function	c	str	True if the character is titlecase	bool
Glib.unichar_isupper()	Determines if a character is uppercase.	function	c	str	True if c is an uppercase character	bool
Glib.unichar_iswide()	Determines if a character is typically rendered in a double-width cell.	function	c	str	True if the character is wide	bool
Glib.unichar_iswide_cjk()	Determines if a character is typically rendered in a double-width cell under legacy East Asian locales. If a character is wide according to unichar_iswide(), then it is also reported wide with this function, but the converse is not necessarily true. See the Unicode Standard Annex for details.	function	c	str	True if the character is wide in legacy East Asian locales	bool
Glib.unichar_isxdigit()	Determines if a character is a hexadecimal digit.	function	c	str	True if the character is a hexadecimal digit	bool
Glib.unichar_iszerowidth()	Determines if a given character typically takes zero width when rendered. The return value is True for all non-spacing and enclosing marks (e.g., combining accents), format characters, zero-width space, but not U+00AD SOFT HYPHEN.	function	c	str	True if the character has zero width	bool
Glib.unichar_to_utf8()	Converts a single character to UTF-8.	function	c	str	number of bytes written	tuple[int, str]
Glib.unichar_tolower()	Converts a character to lower case.	function	c	str	the result of converting c to lower case. If c is not an upperlower or titlecase character, or has no lowercase equivalent c is returned unchanged.	str
Glib.unichar_totitle()	Converts a character to the titlecase.	function	c	str	the result of converting c to titlecase. If c is not an uppercase or lowercase character, c is returned unchanged.	str
Glib.unichar_toupper()	Converts a character to uppercase.	function	c	str	the result of converting c to uppercase. If c is not a lowercase or titlecase character, or has no upper case equivalent c is returned unchanged.	str
Glib.unichar_type()	Classifies a Unicode character by type.	function	c	str	the type of the character.	UnicodeType
Glib.unichar_validate()	Checks whether ch is a valid Unicode character. Some possible integer values of ch will not be valid. 0 is considered a valid character, though it’s normally a string terminator.	function	ch	str	True if ch is a valid Unicode character	bool
Glib.unichar_xdigit_value()	Determines the numeric value of a character as a hexadecimal digit.	function	c	str	If c is a hex digit (according to unichar_isxdigit()), its numeric value. Otherwise, -1.	int
Glib.unicode_canonical_decomposition()	Computes the canonical decomposition of a Unicode character.	function	ch, result_len	str, int	a newly allocated string of Unicode characters. result_len is set to the resulting length of the string.	str
Glib.unicode_canonical_ordering()	Computes the canonical ordering of a string in-place. This rearranges decomposed characters in the string according to their combining classes. See the Unicode manual for more information.	function	string	list[str]		None
Glib.unicode_script_from_iso15924()	iso15924	function	iso15924	int		UnicodeScript
Glib.unicode_script_to_iso15924()	script	function	script	UnicodeScript		int
Glib.unix_error_quark()		function	None			int
Glib.unix_fd_add_full()	Sets a function to be called when the IO condition, as specified by condition becomes true for fd.	function	priority, fd, condition, function, user_data	int, int, IOCondition, Callable[[int, IOCondition, Any], bool], Any	the ID (greater than 0) of the event source	int
Glib.unix_fd_source_new()	Creates a Source to watch for a particular I/O condition on a file descriptor.	function	fd, condition	int, IOCondition	the newly created Source	Source
Glib.unix_get_passwd_entry()	Get the passwd file entry for the given user_name using getpwnam_r(). This can fail if the given user_name doesn’t exist.	function	user_name	str	passwd entry, or None on error; free the returned value with free()	Any | None
Glib.unix_open_pipe()	Similar to the UNIX pipe() call, but on modern systems like Linux uses the pipe2() system call, which atomically creates a pipe with the configured flags.	function	fds, flags	list[int], int	True on success, False if not (and errno will be set).	bool
Glib.unix_set_fd_nonblocking()	Control the non-blocking state of the given file descriptor, according to nonblock. On most systems this uses %O_NONBLOCK, but on some older ones may use %O_NDELAY.	function	fd, nonblock	int, bool	True if successful	bool
Glib.unix_signal_add()	A convenience function for unix_signal_source_new(), which attaches to the default MainContext. You can remove the watch using remove().	function	priority, signum, handler, user_data	int, int, Callable[[Any], bool], Any	An ID (greater than 0) for the event source	int
Glib.unix_signal_add_full()	A convenience function for unix_signal_source_new(), which attaches to the default MainContext. You can remove the watch using remove().	function	priority, signum, handler, user_data	int, int, Callable[[Any], bool], Any	An ID (greater than 0) for the event source	int
Glib.unix_signal_source_new()	Create a Source that will be dispatched upon delivery of the UNIX signal signum. In GLib versions before 2.36, only SIGHUP, SIGINT, SIGTERM can be monitored. In GLib 2.36, SIGUSR1 and SIGUSR2 were added. In GLib 2.54, SIGWINCH was added.	function	signum	int	A newly created Source	Source
Glib.unlink()	A wrapper for the POSIX unlink() function. The unlink() function deletes a name from the filesystem. If this was the last link to the file and no processes have it opened, the diskspace occupied by the file is freed.	function	filename	str	0 if the name was successfully deleted, -1 if an error occurred	int
Glib.unsetenv()	Removes an environment variable from the environment.	function	variable	str		None
Glib.uri_build()	flags	function	flags, scheme, userinfo, host, port, path, query, fragment	UriFlags, str, str | None, str | None, int, str, str | None, str | None		Uri
Glib.uri_build_with_user()	flags	function	flags, scheme, user, password, auth_params, host, port, path, query, fragment	UriFlags, str, str | None, str | None, str | None, str | None, int, str, str | None, str | None		Uri
Glib.uri_error_quark()		function	None			int
Glib.uri_escape_bytes()	unescaped	function	unescaped, reserved_chars_allowed	list[int], str | None		str
Glib.uri_escape_string()	unescaped	function	unescaped, reserved_chars_allowed, allow_utf8	str, str | None, bool		str
Glib.uri_is_valid()	uri_string	function	uri_string, flags	str, UriFlags		bool
Glib.uri_join()	flags	function	flags, scheme, userinfo, host, port, path, query, fragment	UriFlags, str | None, str | None, str | None, int, str, str | None, str | None		str
Glib.uri_join_with_user()	flags	function	flags, scheme, user, password, auth_params, host, port, path, query, fragment	UriFlags, str | None, str | None, str | None, str | None, str | None, int, str, str | None, str | None		str
Glib.uri_list_extract_uris()	uri_list	function	uri_list	str		list[str]
Glib.uri_parse()	uri_string	function	uri_string, flags	str, UriFlags		Uri
Glib.uri_parse_params()	params	function	params, length, separators, flags	str, int, str, UriParamsFlags		dict[str, str]
Glib.uri_parse_scheme()	uri	function	uri	str		str | None
Glib.uri_peek_scheme()	uri	function	uri	str		str | None
Glib.uri_resolve_relative()	base_uri_string	function	base_uri_string, uri_ref, flags	str | None, str, UriFlags		str
Glib.uri_split()	uri_ref	function	uri_ref, flags	str, UriFlags		tuple[bool, str | None, str | None, str | None, int, str, str | None, str | None]
Glib.uri_split_network()	uri_string	function	uri_string, flags	str, UriFlags		tuple[bool, str | None, str | None, int]
Glib.uri_split_with_user()	uri_ref	function	uri_ref, flags	str, UriFlags		tuple[bool, str | None, str | None, str | None, str | None, str | None, int, str, str | None, str | None]
Glib.uri_unescape_bytes()	escaped_string	function	escaped_string, length, illegal_characters	str, int, str | None		Bytes
Glib.uri_unescape_segment()	escaped_string	function	escaped_string, escaped_string_end, illegal_characters	str | None, str | None, str | None		str | None
Glib.uri_unescape_string()	escaped_string	function	escaped_string, illegal_characters	str, str | None		str | None
Glib.usleep()	Pauses the current thread for the given number of microseconds.	function	microseconds	int		None
Glib.utf16_to_ucs4()	Convert a string from UTF-16 to UCS-4. The result will be nul-terminated.	function	str	list[int]	a pointer to a newly allocated UCS-4 string. This value must be freed with free(). If an error occurs, None will be returned and error set.	tuple[str, int, int]
Glib.utf16_to_utf8()	Convert a string from UTF-16 to UTF-8. The result will be terminated with a 0 byte.	function	str	list[int]	a pointer to a newly allocated UTF-8 string. This value must be freed with free(). If an error occurs, None will be returned and error set.	tuple[str, int, int]
Glib.utf8_casefold()	Converts a string into a form that is independent of case. The result will not correspond to any particular case, but can be compared for equality or ordered with the results of calling utf8_casefold() on other strings.	function	str, len	str, int	a newly allocated string, that is a case independent form of str.	str
Glib.utf8_collate()	Compares two strings for ordering using the linguistically correct rules for the [current locale][setlocale]. When sorting a large number of strings, it will be significantly faster to obtain collation keys with utf8_collate_key() and compare the keys with strcmp() when sorting instead of sorting the original strings.	function	str1, str2	str, str	< 0 if str1 compares before str2, 0 if they compare equal, > 0 if str1 compares after str2.	int
